time,distance,kf_distance[0]
4.957,13.12400055,13.46119022
4.958,13.12400055,13.46492672
4.959,13.12400055,13.46832943
4.96,13.12400055,13.47140503
4.961,13.12400055,13.47416019
4.963,13.12400055,13.47874165
4.964,13.12400055,13.48058128
4.965,13.12400055,13.48213005
4.966,13.12400055,13.48339367
4.967,13.12400055,13.48438072
4.968,13.12400055,13.48509693
4.97,13.12400055,13.48574448
4.971,13.12400055,13.48568821
4.972,13.12400055,13.4853878
4.973,13.12400055,13.48484898
4.974,13.12400055,13.48407841
4.975,13.12400055,13.48308277
4.976,13.12400055,13.48186684
4.977,13.12400055,13.48043823
4.978,13.12400055,13.47880077
4.979,13.12400055,13.47696304
4.98,13.12400055,13.47492886
4.982,12.3930006,13.42512798
4.983,12.3930006,13.40049171
4.984,12.3930006,13.37603474
4.985,12.3930006,13.35176086
4.986,12.3930006,13.32767105
4.987,12.3930006,13.30376816
4.988,12.3930006,13.28005409
4.989,12.3930006,13.25653267
4.991,12.3930006,13.21007347
4.992,12.3930006,13.18713951
4.993,12.3930006,13.16440582
4.994,12.3930006,13.14187431
4.995,12.3930006,13.11954594
4.996,12.3930006,13.07550907
4.998,12.3930006,13.05380249
4.999,12.3930006,13.03230762
5,12.3930006,13.01102448
5.001,12.3930006,12.98995399
5.002,12.3930006,12.96909904
5.004,12.3930006,12.92803764
5.005,12.3930006,12.90783501
5.006,12.3930006,12.88785172
5.007,12.3930006,12.86808872
5.008,12.3930006,12.84854698
5.009,12.3930006,12.81013298
5.011,12.3930006,12.79126167
5.012,12.3930006,12.77261543
5.013,12.3930006,12.75419521
5.014,12.3930006,12.73600101
5.015,12.3930006,12.71803284
5.017,12.3930006,12.68277931
5.018,12.3930006,12.66549492
5.019,12.3930006,12.64843845
5.02,12.3930006,12.63160992
5.021,12.3930006,12.61501122
5.022,12.3930006,12.59864044
5.024,12.3930006,12.56658745
5.025,12.3930006,12.55090427
5.026,12.3930006,12.53545094
5.027,12.3930006,12.52022552
5.028,12.3930006,12.50522995
5.029,12.3930006,12.4904623
5.03,12.3930006,12.47592354
5.031,12.3930006,12.46161175
5.033,12.3930006,12.43367195
5.034,12.3930006,12.42004299
5.035,12.3930006,12.4066391
5.036,12.3930006,12.39346218
5.037,12.3930006,12.38051033
5.038,12.3930006,12.36778259
5.039,12.3930006,12.35527992
5.04,12.3930006,12.34299946
5.041,11.39000034,12.25713253
5.042,11.39000034,12.25713253
5.044,11.39000034,12.17410278
5.045,11.39000034,12.13363838
5.047,11.39000034,12.05479145
5.048,11.39000034,12.01639748
5.049,11.39000034,11.97868347
5.05,11.39000034,11.94164467
5.051,11.39000034,11.9052763
5.052,11.39000034,11.86957264
5.053,11.39000034,11.83452892
5.055,11.39000034,11.76640129
5.056,11.39000034,11.73330784
5.057,11.39000034,11.70085335
5.058,11.39000034,11.6690321
5.059,11.39000034,11.63784122
5.06,11.39000034,11.6072731
5.061,11.39000034,11.57732391
5.062,11.39000034,11.54798794
5.063,11.39000034,11.51926041
5.064,11.39000034,11.49113464
5.066,11.39000034,11.4366703
5.067,11.39000034,11.41032028
5.068,11.39000034,11.38455105
5.069,11.39000034,11.35935783
5.07,11.39000034,11.33473396
5.071,11.39000034,11.31067562
5.073,11.39000034,11.26423073
5.074,11.39000034,11.24183273
5.075,11.39000034,11.21997833
5.076,11.39000034,11.1986599
5.077,11.39000034,11.17787457
5.078,11.39000034,11.15761471
5.079,11.39000034,11.13787556
5.08,11.39000034,11.11865139
5.081,11.39000034,11.09993649
5.083,11.39000034,11.06401443
5.084,11.39000034,11.04679489
5.085,11.39000034,11.03006268
5.086,11.39000034,11.01381207
5.087,11.39000034,10.99803734
5.088,11.39000034,10.98273373
5.089,11.39000034,10.96789551
5.09,11.39000034,10.95351601
5.092,11.39000034,10.92611408
5.093,11.39000034,10.91308022
5.094,11.39000034,10.90048313
5.095,11.39000034,10.88831806
5.096,11.39000034,10.87657928
5.097,11.39000034,10.86526108
5.099,11.39000034,10.84386444
5.1,11.39000034,10.83377552
5.101,9.707000732,10.77167797
5.102,9.707000732,10.71079826
5.103,9.707000732,10.65112591
5.104,9.707000732,10.59264946
5.106,9.707000732,10.47923183
5.107,9.707000732,10.42426777
5.108,9.707000732,10.37045097
5.109,9.707000732,10.31776905
5.11,9.707000732,10.26621056
5.111,9.707000732,10.21576405
5.112,9.707000732,10.11815834
5.114,9.707000732,10.0709753
5.115,9.707000732,10.02485657
5.116,9.707000732,9.979789734
5.117,9.707000732,9.935764313
5.118,9.707000732,9.892767906
5.119,9.707000732,9.85078907
5.12,9.707000732,9.80981636
5.121,9.707000732,9.769837379
5.123,9.707000732,9.692814827
5.124,9.707000732,9.655749321
5.125,9.707000732,9.619630814
5.126,9.707000732,9.584449768
5.127,9.707000732,9.550192833
5.129,9.707000732,9.484410286
5.13,9.707000732,9.452860832
5.131,9.707000732,9.42219162
5.132,9.707000732,9.392390251
5.133,9.707000732,9.363446236
5.134,9.707000732,9.335349083
5.135,9.707000732,9.308086395
5.136,9.707000732,9.281647682
5.137,9.707000732,9.256022453
5.138,9.707000732,9.231198311
5.14,9.707000732,9.183913231
5.141,9.707000732,9.161430359
5.142,9.707000732,9.139705658
5.145,9.707000732,9.078974724
5.146,9.707000732,9.060176849
5.147,9.707000732,9.04208374
5.148,9.707000732,9.02468586
5.149,9.707000732,9.007971764
5.15,9.707000732,8.991931915
5.152,9.707000732,8.961833
5.153,9.707000732,8.947752953
5.154,9.707000732,8.934306145
5.155,9.707000732,8.921482086
5.156,9.707000732,8.909270287
5.157,9.707000732,8.897661209
5.158,9.707000732,8.886646271
5.16,9.707000732,8.866353989
5.161,9.384000778,8.846999168
5.162,9.384000778,8.828357697
5.163,9.384000778,8.810417175
5.164,9.384000778,8.793167114
5.165,9.384000778,8.776597023
5.166,9.384000778,8.760696411
5.167,9.384000778,8.745453835
5.168,9.384000778,8.730858803
5.17,9.384000778,8.703572273
5.171,9.384000778,8.690859795
5.172,9.384000778,8.678752899
5.173,9.384000778,8.667243004
